koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_depth,koi_duration,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_impact,koi_sma,koi_steff,total_fp_flags,planet_density_proxy,habitable_zone_proxy,transit_intensity,koi_disposition
0.0,0.0,0.0,0.0,11.59822233,2804.5,2.5237,71.0,2.65,396.0,5.82,0.679,0.0798,3688.0,0.0,0.006675062972292191,0.06375431425142758,7077.716649999999,CONFIRMED
0.0,0.0,0.0,0.0,6.575315881,2793.3,4.3084,221.1,5.31,1015.0,251.38,0.39,0.067,5992.0,0.0,0.005226377952755905,0.0682294603471203,12034.65372,CONFIRMED
0.0,0.0,0.0,0.0,7.275040844,3001.0,7.5377,312.1,4.86,833.0,113.64,0.547,0.0732,5485.0,0.0,0.005827338129496404,0.07131988402050174,22620.6377,CONFIRMED
0.0,0.0,0.0,0.0,19.27153892,1219.8,2.7594,37.1,1.93,393.0,5.66,0.031,0.1171,4077.0,0.0,0.004898477157360406,0.09836452113791634,3365.91612,CONFIRMED
0.0,0.0,0.0,0.0,10.06524317,1053.3,1.369,30.3,1.91,488.0,13.43,0.628,0.076,4077.0,0.0,0.003905930470347648,0.06384033822785347,1441.9677,CONFIRMED
0.0,0.0,0.0,0.0,12.3935651,916.6,3.8896,35.8,2.66,677.0,49.68,0.883,0.0983,5557.0,0.0,0.00392330383480826,0.09640175658436445,3565.2073600000003,CONFIRMED
0.0,0.0,0.0,0.0,43.84439721,615.2,6.802,83.7,2.87,531.0,18.77,0.852,0.2395,5854.0,0.0,0.005394736842105263,0.24106996678439122,4184.5904,CONFIRMED
0.0,1.0,1.0,0.0,3.341913228,725.3,3.813,39.0,21.55,1032.0,268.67,1.213,0.0415,5295.0,2.0,0.020861568247821878,0.03972759823179441,2765.5688999999998,FALSE POSITIVE
0.0,0.0,1.0,0.0,1.626630225,1620.6,2.1145,103.6,32.43,1547.0,1355.88,1.26,0.026,5735.0,1.0,0.020949612403100774,0.02590307305113735,3426.7587,FALSE POSITIVE
0.0,0.0,0.0,0.0,2.711504086,837.5,3.0099,64.5,3.12,1420.0,960.79,0.023,0.0401,6214.0,0.0,0.0021956368754398312,0.04158543304579251,2520.79125,CONFIRMED
0.0,0.0,0.0,0.0,7.21203748,950.4,4.0491,51.5,3.32,1025.0,260.58,0.012,0.077,6214.0,0.0,0.003235867446393762,0.07985232779366642,3848.26464,CONFIRMED
0.0,0.0,0.0,1.0,14.1798187,459.9,2.505,11.2,1.88,711.0,60.35,0.1601,0.1137,5799.0,1.0,0.002640449438202247,0.11390643253930735,1152.0494999999999,FALSE POSITIVE
0.0,0.0,0.0,0.0,8.47237911,1123.5,2.7245,47.6,2.59,751.0,75.44,0.022,0.0778,5354.0,0.0,0.0034441489361702127,0.07489106587577514,3060.97575,CONFIRMED
0.0,0.0,0.0,0.0,60.4189369,931.3,5.039,20.1,2.36,390.0,5.49,0.094,0.2884,5354.0,0.0,0.006035805626598465,0.27761675319503276,4692.820699999999,CONFIRMED
0.0,0.0,0.0,0.0,12.611904345,6105.6,5.1497,277.2,7.4,753.0,76.15,0.55,0.1058,5795.0,0.0,0.009814323607427056,0.10595552777646738,31442.008320000004,CONFIRMED
