orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_earth,equilibrium_temperature_K,insolation_flux_Earth,stellar_radius_solar,stellar_temperature_K,final_disposition,source_mission
20.50588921,4.0595,2105.5,3.41,518.0,17.06,0.761,4905.0,CONFIRMED,KEPLER
3.340218842,1.9104,1632.6,2.03,656.0,43.73,0.493,3950.0,CONFIRMED,KEPLER
2.507089906,2.0067,1339.2,30.26,1326.0,730.47,0.939,5926.0,FALSE_POSITIVE,KEPLER
18.64932728,4.4056,893.6,3.12,701.0,57.13,1.053,5775.0,CONFIRMED,KEPLER
4.90144976,4.1654,140.7,1.7,1262.0,598.74,1.402,5847.0,CONFIRMED,KEPLER
9.75192101,4.793,418.0,2.76,870.0,135.66,1.053,5775.0,CONFIRMED,KEPLER
38.5576546,5.794,993.0,4.02,550.0,21.71,1.053,5775.0,CONFIRMED,KEPLER
3.525632539,2.59959,22335.0,11.58,975.0,213.12,0.793,5150.0,CONFIRMED,KEPLER
34.84398644,2.9315,4523.6,7.61,511.0,16.1,0.871,5509.0,CANDIDATE,KEPLER
7.748094239,3.5957,2472.1,5.52,964.0,204.39,1.085,5973.0,CONFIRMED,KEPLER
23.96793669,3.827,1182.3,1.8,329.0,2.77,0.524,3747.0,CONFIRMED,KEPLER
8.29561738,1.3421,824.3,1.82,469.0,11.39,0.524,3747.0,CONFIRMED,KEPLER
8.11437482,2.2736,1558.0,2.1,460.0,10.55,0.517,3692.0,CONFIRMED,KEPLER
38.036729482,4.34617,82872.0,27.5,500.0,14.81,0.932,5575.0,FALSE_POSITIVE,KEPLER
4.64090031,35.512,2450.6,30.09,1155.0,421.08,0.826,6463.0,CANDIDATE,KEPLER
3.747838198,5.0642,616.0,13.65,1031.0,266.76,0.826,5514.0,FALSE_POSITIVE,KEPLER
14.74914825,6.0995,430.2,2.89,874.0,137.91,1.402,5847.0,CONFIRMED,KEPLER
21.81295996,4.3791,1175.4,3.38,639.0,39.33,0.999,5601.0,CONFIRMED,KEPLER
